date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2011-01-01,2.2,1.0,3.3,0.0,260.0,268.0,29.5,56.2,1011.7,18
2011-01-02,0.0,-3.1,1.5,0.0,150.0,275.0,16.2,37.8,1015.7,48
2011-01-03,-2.5,-5.3,-0.9,0.2,150.0,265.0,11.5,29.2,1019.8,0
2011-01-04,-2.8,-7.9,-0.7,0.0,150.0,202.0,9.7,24.5,1018.6,0
2011-01-05,-7.0,-10.5,-3.4,0.0,140.0,161.0,11.5,28.8,1015.1,342
2011-01-06,-0.4,-6.6,3.8,4.7,140.0,167.0,18.7,39.6,1002.1,0
2011-01-07,3.7,2.2,6.0,0.4,80.0,184.0,15.5,46.4,1007.7,6
2011-01-08,5.6,3.4,7.9,0.1,40.0,179.0,11.9,33.1,1007.5,126
2011-01-09,5.4,1.3,10.5,0.2,0.0,220.0,13.7,33.5,1009.9,24
2011-01-10,1.1,-3.3,5.0,0.0,0.0,211.0,9.0,18.0,1022.0,390
2011-01-11,0.4,-3.5,3.1,0.8,0.0,132.0,11.2,25.9,1012.4,0
2011-01-12,3.6,2.6,5.0,2.9,0.0,234.0,19.8,46.4,1011.5,54
2011-01-13,4.8,3.0,9.0,5.8,0.0,214.0,9.0,31.7,1008.3,0
2011-01-14,9.6,8.7,10.6,6.2,0.0,239.0,18.0,36.0,1008.8,0
2011-01-15,8.2,6.5,9.8,0.5,0.0,254.0,20.9,50.0,1017.3,132
2011-01-16,7.5,4.3,9.8,0.0,0.0,215.0,16.2,29.2,1023.2,78
2011-01-17,3.9,1.6,8.8,0.0,0.0,192.0,7.9,21.6,1022.7,390
2011-01-18,5.3,3.2,7.5,1.5,0.0,257.0,11.9,32.8,1021.5,18
2011-01-19,2.8,0.5,4.3,0.2,0.0,292.0,10.1,28.1,1023.9,42
2011-01-20,1.0,-0.3,2.1,0.2,0.0,351.0,10.1,27.7,1026.9,0
2011-01-21,-0.4,-0.9,0.1,0.9,0.0,315.0,10.8,27.7,1031.8,0
2011-01-22,-0.8,-3.3,1.4,0.0,0.0,253.0,10.8,24.8,1030.1,216
2011-01-23,0.5,0.1,0.8,1.3,0.0,320.0,10.8,28.8,1023.2,0
2011-01-24,0.6,-0.4,2.6,0.6,20.0,203.0,9.0,28.1,1019.9,0
2011-01-25,2.2,0.5,3.9,3.7,0.0,243.0,18.7,40.7,1005.4,6
2011-01-26,0.6,-1.3,1.7,0.8,0.0,324.0,12.6,32.0,1008.2,0
2011-01-27,-1.4,-4.3,0.1,0.1,0.0,27.0,12.6,29.9,1021.1,24
