iter	RMSE
0	257514.2558
1	252194.9684
2	246892.2606
3	242253.6957
4	237638.2178
5	233063.652
6	228715.8411
7	224786.0252
8	221072.2192
9	218135.1226
10	215019.5476
11	212230.2983
12	209434.3293
13	206556.1421
14	204557.7346
15	202634.0428
16	200457.7598
17	198354.4826
18	196470.1563
19	194643.3726
20	192928.2984
21	191300.5035
22	189737.3563
23	188351.7898
24	186865.747
25	185390.2618
26	183960.8675
27	182703.7138
28	181643.7445
29	180553.5344
30	179381.5214
31	178466.4233
32	177517.6591
33	176676.4228
34	176049.6091
35	175069.2696
36	174178.2165
37	173173.6649
38	172551.2516
39	171859.4069
40	170952.1746
41	170134.972
42	169609.4622
43	168819.2485
44	168352.1518
45	167794.223
46	167202.7108
47	166531.5098
48	166063.1065
49	165417.9616
50	165015.4068
51	164399.2584
52	163924.4368
53	163479.0157
54	163087.0069
55	162606.2321
56	162306.7162
57	162057.1679
58	161784.6802
59	161418.5893
60	161064.1796
61	160803.7869
62	160403.395
63	160085.228
64	159810.7879
65	159521.3898
66	159045.3517
67	158718.9082
68	158589.7068
69	158289.2962
70	157970.9814
71	157714.0141
72	157422.1986
73	157082.5844
74	156813.3757
75	156546.5029
76	156250.7028
77	156020.2847
78	155811.2346
79	155575.0455
80	155390.1398
81	155256.3237
82	154906.937
83	154634.6199
84	154493.3585
85	154309.0143
86	154176.6312
87	154054.7756
88	153689.3265
89	153513.37
90	153320.1109
91	152976.4508
92	152850.2982
93	152673.6581
94	152551.0618
95	152273.06
96	152119.0876
97	151946.2623
98	151784.4084
99	151639.3736
100	151454.9925
101	151271.2556
102	151127.9901
103	150974.5308
104	150823.9159
105	150719.1051
106	150592.2468
107	150427.5558
108	150240.6398
109	150180.1722
110	150114.8381
111	149825.2149
112	149725.2211
113	149604.2214
114	149354.5471
115	149158.9362
116	149076.3267
117	148811.5585
118	148677.0867
119	148314.5312
120	148072.3224
121	147842.47
122	147656.665
123	147462.0506
124	147317.2885
125	147222.356
126	147124.615
127	147045.7329
128	146860.5693
129	146730.2936
130	146612.8823
131	146509.9271
132	146227.5794
133	146031.6152
134	145925.8796
135	145800.275
136	145637.3731
137	145502.6035
138	145352.3941
139	145204.5027
140	145035.0587
141	144879.1784
142	144807.9124
143	144740.8643
144	144568.7686
145	144488.7089
146	144395.276
147	144243.104
148	144167.3974
149	143906.0709
150	143868.0398
151	143610.3594
152	143263.4916
153	143178.0493
154	143083.1204
155	143000.3476
156	142814.1984
157	142575.1485
158	142454.1951
159	142368.6073
160	142328.4806
161	142215.3339
162	142081.9148
163	142058.8881
164	141858.9157
165	141660.2038
166	141591.4166
167	141484.4367
168	141261.141
169	141126.0384
170	140949.482
171	140792.7481
172	140656.3096
173	140430.7197
174	140335.5889
175	140266.5476
176	140165.3339
177	140043.4214
178	139844.6498
179	139753.5013
