iter	Passed	Remaining
0	126	126839
1	135	67503
2	140	46632
3	147	36642
4	151	30196
5	156	25954
6	163	23177
7	168	20935
8	175	19311
9	180	17887
10	187	16859
11	193	15894
12	196	14935
13	201	14169
14	207	13619
15	212	13051
16	217	12551
17	222	12151
18	228	11788
19	231	11361
20	238	11119
21	245	10913
22	249	10585
23	254	10364
24	259	10117
25	263	9853
26	266	9613
27	273	9508
28	281	9428
29	287	9294
30	291	9097
31	295	8940
32	299	8788
33	304	8655
34	308	8493
35	311	8336
36	314	8184
37	319	8097
38	324	7993
39	327	7871
40	335	7844
41	339	7734
42	342	7625
43	346	7520
44	350	7430
45	353	7334
46	357	7255
47	360	7159
48	364	7071
49	368	6995
50	371	6915
51	375	6839
52	378	6771
53	383	6717
54	388	6673
55	391	6600
56	394	6531
57	399	6481
58	402	6421
59	408	6400
60	411	6340
61	416	6296
62	419	6242
63	422	6184
64	426	6135
65	430	6096
66	434	6051
67	438	6010
68	442	5972
69	446	5931
70	450	5891
71	454	5855
72	458	5825
73	465	5819
74	469	5786
75	472	5741
76	475	5702
77	479	5671
78	483	5640
79	490	5641
80	497	5644
81	502	5620
82	509	5634
83	516	5633
84	519	5596
85	523	5566
86	529	5551
87	533	5527
88	538	5507
89	542	5484
90	550	5502
91	558	5509
92	562	5481
93	565	5454
94	571	5440
95	576	5425
96	579	5395
97	583	5372
98	590	5376
99	594	5351
100	598	5325
101	602	5300
102	606	5279
103	610	5261
104	615	5243
105	621	5242
106	625	5221
107	629	5197
108	635	5191
109	640	5180
110	643	5155
111	647	5134
112	650	5109
113	654	5085
114	658	5065
115	661	5044
116	667	5033
117	671	5016
118	677	5015
119	681	5001
120	685	4981
121	689	4963
122	693	4944
123	696	4922
124	699	4899
125	704	4884
126	707	4860
127	710	4838
128	713	4816
129	717	4804
130	721	4788
131	725	4771
132	729	4753
133	735	4755
134	741	4748
135	744	4727
136	747	4707
137	751	4697
138	755	4680
139	759	4662
140	762	4643
141	766	4629
142	771	4620
143	775	4611
144	781	4607
145	785	4593
146	789	4581
147	793	4567
148	799	4564
149	802	4547
150	806	4531
151	809	4513
152	813	4502
153	816	4487
154	820	4472
155	824	4458
156	828	4447
157	832	4434
158	837	4427
159	840	4412
160	844	4401
161	848	4388
162	854	4389
163	860	4385
164	866	4382
165	869	4367
166	873	4358
167	878	4348
168	883	4345
169	887	4334
170	892	4326
171	897	4318
172	900	4305
173	903	4289
174	907	4279
175	911	4266
176	914	4253
177	920	4250
178	923	4237
179	929	4235
180	934	4226
181	937	4213
182	942	4207
183	946	4195
184	950	4185
185	953	4172
186	957	4164
187	961	4151
188	967	4149
189	970	4137
190	975	4130
191	978	4118
192	981	4105
193	985	4096
194	990	4087
195	994	4077
196	998	4068
197	1002	4061
198	1006	4050
199	1010	4040
200	1014	4030
201	1021	4037
202	1025	4027
203	1029	4017
204	1033	4009
205	1037	3999
206	1041	3991
207	1046	3983
208	1049	3971
209	1056	3973
210	1060	3964
211	1063	3953
212	1068	3947
213	1074	3946
214	1078	3939
215	1086	3944
216	1090	3935
217	1095	3931
218	1099	3922
219	1103	3912
220	1107	3904
221	1112	3898
222	1116	3889
223	1120	3881
224	1128	3886
225	1132	3880
226	1136	3869
227	1140	3861
228	1143	3850
229	1147	3840
230	1151	3833
231	1154	3823
232	1158	3814
233	1163	3807
234	1166	3797
235	1170	3788
236	1173	3778
237	1179	3777
238	1184	3771
239	1187	3761
240	1191	3751
241	1194	3740
242	1197	3731
243	1201	3723
244	1205	3715
245	1208	3704
246	1212	3697
247	1216	3689
248	1221	3682
249	1225	3676
250	1229	3669
251	1233	3661
252	1239	3659
253	1243	3650
254	1247	3645
255	1250	3634
256	1254	3625
257	1257	3615
258	1261	3609
259	1265	3603
260	1269	3594
261	1273	3585
262	1277	3578
263	1281	3573
264	1285	3564
265	1288	3555
266	1292	3548
267	1296	3542
268	1302	3540
269	1306	3531
270	1310	3524
271	1314	3518
272	1318	3510
273	1321	3502
274	1326	3498
275	1330	3489
276	1333	3481
277	1337	3472
278	1341	3465
279	1345	3459
280	1348	3450
281	1351	3441
282	1355	3434
283	1359	3427
284	1363	3420
285	1367	3414
286	1374	3413
287	1378	3406
288	1382	3400
289	1385	3393
290	1390	3387
291	1395	3383
292	1399	3376
293	1402	3368
294	1407	3362
295	1410	3354
296	1414	3347
297	1417	3339
298	1423	3337
299	1427	3330
300	1430	3322
301	1439	3326
302	1443	3320
303	1447	3313
304	1453	3311
305	1458	3307
306	1462	3300
307	1466	3295
308	1471	3290
309	1476	3285
310	1479	3278
311	1483	3272
312	1487	3265
313	1494	3264
314	1499	3260
315	1503	3254
316	1507	3248
317	1512	3244
318	1517	3240
319	1521	3233
320	1525	3227
321	1528	3219
322	1533	3214
323	1537	3207
324	1540	3199
325	1543	3191
326	1548	3186
327	1552	3181
328	1560	3182
329	1564	3177
330	1568	3169
331	1573	3165
332	1579	3163
333	1584	3160
334	1588	3152
335	1592	3147
336	1596	3141
337	1602	3138
