date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,windturbines_mw
2011-01-01,2.1,0.7,3.4,0.5,153.3,268.3,20.0,44.2,1015.3,90,518229.0
2011-01-02,0.6,-1.4,2.0,0.1,96.7,283.3,12.1,28.3,1018.5,70,83077.0
2011-01-03,-1.0,-2.8,0.7,0.5,90.0,259.7,8.8,21.7,1021.1,32,73095.0
2011-01-04,-1.1,-4.4,0.3,0.0,90.0,190.7,12.2,29.1,1017.7,40,376606.0
2011-01-05,-4.1,-6.4,-0.9,2.3,83.3,155.7,15.8,33.7,1011.9,268,216599.0
2011-01-06,2.0,-2.9,5.8,8.1,73.3,163.0,16.1,37.2,998.8,0,224738.0
2011-01-07,4.4,2.5,6.3,2.5,26.7,166.0,12.2,34.8,1006.5,2,202544.0
2011-01-08,8.3,5.0,11.4,3.4,13.3,177.0,16.3,52.1,1004.8,118,16557.0
2011-01-09,4.8,1.0,9.3,0.9,0.0,234.0,12.1,34.2,1009.8,24,22913.0
2011-01-10,0.9,-2.7,3.7,0.0,0.0,181.3,11.6,26.6,1020.8,182,15518.0
2011-01-11,1.4,-1.8,4.4,1.1,0.0,146.0,14.6,36.8,1010.0,64,105100.0
2011-01-12,4.1,2.7,6.0,8.6,0.0,222.7,16.1,40.4,1012.1,18,357085.0
2011-01-13,7.2,5.1,10.3,9.4,0.0,226.0,10.3,37.5,1008.8,0,167369.0
2011-01-14,10.2,8.6,11.3,8.6,0.0,235.7,16.7,37.9,1009.6,0,360219.0
2011-01-15,8.4,6.5,9.9,0.9,0.0,235.7,17.9,42.6,1018.1,46,397129.0
2011-01-16,8.3,5.6,11.1,0.0,0.0,201.3,16.8,32.8,1022.4,96,299042.0
2011-01-17,6.2,3.9,9.4,0.6,0.0,179.7,11.8,28.7,1022.0,220,171133.0
2011-01-18,5.8,3.4,8.8,1.7,0.0,246.7,12.1,40.6,1022.2,16,175946.0
2011-01-19,3.2,1.2,4.9,2.4,0.0,295.3,10.8,29.5,1026.0,26,70275.0
2011-01-20,0.7,-1.2,2.1,0.1,3.3,348.7,10.8,27.6,1029.0,12,60574.0
2011-01-21,-0.5,-1.7,0.6,0.7,0.0,301.7,9.1,22.0,1033.3,48,46772.0
2011-01-22,0.2,-1.3,1.8,0.4,3.3,205.3,7.7,19.0,1030.4,72,41760.0
2011-01-23,1.4,-0.1,2.5,0.6,0.0,314.0,8.3,24.2,1024.9,0,58551.0
2011-01-24,2.2,0.6,4.0,2.3,6.7,262.3,10.1,26.9,1021.4,0,100626.0
2011-01-25,2.9,0.8,4.8,3.3,0.0,266.7,17.0,44.9,1007.7,20,298903.0
2011-01-26,0.9,-1.6,2.5,0.3,0.0,139.7,10.7,28.1,1009.7,2,93853.0
2011-01-27,-1.1,-3.9,0.8,0.0,0.0,43.0,11.8,28.0,1021.2,104,69897.0
2011-01-28,-2.5,-5.6,1.3,0.0,0.0,71.0,8.7,27.4,1026.2,364,67752.0
2011-01-29,-3.5,-7.6,1.1,0.0,0.0,76.3,5.3,17.4,1022.1,308,42867.0
2011-01-30,-3.9,-7.1,-0.5,0.0,0.0,133.0,4.7,15.0,1022.2,96,9603.0
2011-01-31,-4.1,-6.0,-2.9,0.0,0.0,170.3,6.2,16.2,1025.2,0,9203.0
2011-02-01,-3.6,-4.9,-1.9,0.7,0.0,207.7,12.4,26.3,1025.2,0,212079.0
2011-02-02,0.2,-2.1,1.8,1.0,6.7,203.7,15.6,33.9,1025.9,16,259000.0
2011-02-03,2.7,0.3,5.3,1.5,0.0,216.0,17.3,34.8,1022.4,102,146157.0
2011-02-04,6.0,1.8,9.5,7.0,0.0,219.3,29.3,59.0,1015.5,0,70694.0
2011-02-05,9.3,7.8,10.8,13.2,0.0,248.0,28.9,63.2,1014.5,0,202162.0
2011-02-06,9.0,7.2,10.5,4.6,0.0,248.0,22.0,54.5,1018.7,4,92388.0
2011-02-07,8.2,4.8,11.2,0.3,0.0,216.7,22.4,54.6,1015.9,196,466995.0
2011-02-08,5.9,0.4,8.8,0.0,0.0,274.7,20.4,54.2,1019.1,270,37552.0
2011-02-09,2.7,-1.8,6.9,0.0,0.0,211.0,10.1,24.8,1023.3,340,11246.0
2011-02-10,4.7,0.6,7.9,6.1,0.0,169.0,13.8,30.7,1016.2,72,15637.0
2011-02-11,6.1,3.1,8.2,10.0,0.0,278.3,15.6,46.2,1010.2,54,65153.0
2011-02-12,2.0,0.4,4.3,1.9,0.0,92.3,16.0,42.7,1018.2,228,398658.0
2011-02-13,2.0,0.1,3.7,0.0,3.3,126.0,16.1,36.2,1013.6,84,193488.0
2011-02-14,2.1,0.6,3.6,1.7,3.3,111.3,22.0,45.3,1011.0,52,363374.0
2011-02-15,0.7,-1.8,3.3,0.8,0.0,122.0,19.8,41.8,1004.4,104,396518.0
2011-02-16,1.7,-1.2,4.7,0.0,16.7,114.0,15.0,33.5,1003.0,120,194963.0
2011-02-17,0.2,-2.8,3.8,0.0,0.0,96.0,11.9,28.1,1007.4,258,99463.0
2011-02-18,-0.2,-1.0,0.7,0.0,0.0,67.3,11.4,23.5,1016.2,0,38556.0
2011-02-19,-0.2,-1.4,1.0,0.0,0.0,78.0,15.4,32.5,1020.1,0,93701.0
2011-02-20,-2.3,-5.3,-0.4,0.0,0.0,87.3,17.2,34.6,1021.7,182,156965.0
2011-02-21,-4.4,-7.3,-1.6,0.0,0.0,90.7,14.9,30.7,1022.3,252,120412.0
2011-02-22,-5.9,-9.5,-1.3,0.0,0.0,92.7,11.4,29.4,1022.6,552,61240.0
2011-02-23,-5.1,-9.2,-0.6,0.2,0.0,120.0,14.4,31.7,1027.0,344,76154.0
2011-02-24,-2.1,-5.6,2.0,0.4,3.3,122.0,14.9,29.3,1027.1,124,152000.0
2011-02-25,-0.2,-4.4,4.4,0.0,0.0,120.0,15.5,34.9,1030.2,262,157628.0
2011-02-26,2.1,-2.0,7.3,1.5,0.0,132.0,17.4,38.1,1018.9,292,236622.0
