Model,R2 Score,MAE,MSE,RMSE
LinearRegression,0.4532219861466239,140880.65100190128,41325171758.29401,203285.93595793587
RandomForest,0.6568075649985832,105962.950519403,25938289329.943462,161053.68462082284
SVR,-0.08220299442505685,199342.86233442198,81792287708.82559,285993.50990682567
Gradient Boosting,0.6421284785478396,110027.5686763508,27047726347.27477,164461.92978095193
KNN,0.25482918543427935,171829.718261194,56319586963.95949,237317.4813703354
Decision Tree,0.19503474514381514,155566.224079602,60838816802.372696,246655.25902030285
Ridge,0.45322112729856756,140881.15608379088,41325236669.54234,203286.09561291285
Lasso,0.45322422671208573,140880.6487276604,41325002417.628876,203285.51944894865
Elastic Net,0.44948730831589423,141806.2827279787,41607436587.72474,203979.01016458712
AdaBoost,0.3555767002409821,178362.12873796636,48705147011.87188,220692.42626758147
XGBoost,0.6669686618235335,107835.86760306136,25170319402.651665,158651.56602647091
BaggingRegressor,0.6536885713605456,106575.68731703982,26174021097.75279,161783.871562504
LightGBM,0.6821861018961378,103249.72080945445,24020193924.32445,154984.4957546543
CatBoost,0.6824861836888003,101939.92171979112,23997513912.85889,154911.3098287497
MLPRegressor,0.21823486130955005,186184.14995473134,59085365198.485664,243074.8139945512
Bayesian Ridge,0.4524437136103917,141116.6426217496,41383993154.58224,203430.56101427396
Gaussian Process Regression,-0.030075209674239822,185857.48159098046,77852499342.01581,279020.6073787666
