Model,R2 Score,MAE,MSE,RMSE
LinearRegression,0.3137099920647831,7359.46137415253,101545362.69059043,10076.971900853472
RandomForest,0.8787038505602076,2908.9909046682915,17947312.86397872,4236.426898221982
SVR,-0.10940587873307961,8815.418210888098,164150754.0900376,12812.133081186661
Gradient Boosting,0.5775320029407607,5664.332999511525,62509530.213934444,7906.296871098027
KNN,0.5810244624239387,5401.222575029825,61992776.27492768,7873.549153649051
Decision Tree,0.7316100167585091,3700.841501115203,39711722.268512666,6301.723753744896
Ridge,0.3137100031933966,7359.461448730508,101545361.04397008,10076.971819151331
Lasso,0.3137103168542388,7359.4606072690385,101545314.63384664,10076.969516369822
Elastic Net,0.31339169482392426,7365.828342476088,101592458.82836412,10079.308449906874
AdaBoost,0.18562100765760825,9343.560860894891,120497762.15423487,10977.147268495348
XGBoost,0.7729291722301139,4171.88053259474,33598026.0469161,5796.380426345057
BaggingRegressor,0.8787821895139959,2904.9344043311376,17935721.616279855,4235.058631976641
LightGBM,0.6953887174435518,4851.45345342408,45071125.63084309,6713.503230865617
CatBoost,0.7636327724507594,4253.284566983071,34973547.00219189,5913.843674142215
MLPRegressor,0.3412723684239384,7222.045879172266,97467157.45425661,9872.54564204474
Bayesian Ridge,0.3137148864422121,7359.501497853252,101544638.50500499,10076.935968090946
