date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2011-01-01,2.7,1.0,4.0,0.0,110.0,277.0,22.7,51.8,1013.4,252
2011-01-02,0.9,-0.8,2.8,0.0,80.0,284.0,12.2,26.3,1017.2,162
2011-01-03,-0.8,-2.8,0.9,0.0,70.0,257.0,9.0,20.9,1020.1,84
2011-01-04,0.8,-1.1,1.5,0.0,60.0,220.0,18.7,40.0,1016.0,0
2011-01-05,-2.3,-4.5,-0.6,0.6,50.0,175.0,19.1,37.4,1010.1,252
2011-01-06,1.6,-3.1,3.4,10.0,40.0,170.0,15.1,35.6,996.5,0
2011-01-07,2.2,1.5,3.3,2.7,0.0,174.0,11.5,31.7,1006.4,0
2011-01-08,7.8,3.3,11.4,2.2,0.0,174.0,17.6,55.1,1002.3,84
2011-01-09,4.1,2.3,7.1,0.0,0.0,248.0,13.3,36.0,1008.1,36
2011-01-10,1.6,-0.8,3.5,0.0,0.0,208.0,13.7,25.9,1019.7,12
2011-01-11,0.3,-2.3,3.6,0.7,0.0,155.0,17.6,40.3,1008.8,162
2011-01-12,3.4,2.8,4.0,1.1,0.0,233.0,15.8,37.8,1010.2,0
2011-01-13,5.5,3.7,8.8,9.3,0.0,218.0,9.7,35.3,1007.2,0
2011-01-14,9.6,8.6,10.5,16.5,0.0,244.0,14.4,35.6,1007.0,0
2011-01-15,8.1,7.0,9.5,2.3,0.0,236.0,19.1,45.4,1015.8,0
2011-01-16,9.3,7.6,11.0,0.0,0.0,222.0,21.2,42.1,1019.9,78
2011-01-17,8.3,7.4,9.1,1.3,0.0,208.0,15.5,38.2,1020.4,0
2011-01-18,5.1,3.3,8.6,0.2,0.0,265.0,12.2,41.0,1021.9,0
2011-01-19,3.2,1.0,4.9,0.1,0.0,289.0,10.4,24.8,1025.6,30
2011-01-20,0.0,-2.0,1.2,0.0,0.0,348.0,10.4,28.4,1030.4,12
2011-01-21,-0.5,-2.4,1.0,0.7,0.0,258.0,7.9,19.1,1033.7,0
2011-01-22,1.1,-0.1,2.5,0.0,0.0,262.0,8.3,22.0,1030.1,0
2011-01-23,1.6,-0.5,2.8,0.0,0.0,299.0,8.6,25.9,1025.0,0
2011-01-24,2.5,-0.2,5.2,4.8,0.0,273.0,13.3,31.0,1020.4,0
2011-01-25,3.4,1.0,4.8,1.4,0.0,284.0,16.2,47.2,1005.2,18
2011-01-26,0.6,-2.8,1.7,0.0,0.0,21.0,12.6,28.1,1011.6,0
2011-01-27,-2.6,-6.0,-0.3,0.0,0.0,42.0,9.7,25.6,1024.1,288
2011-01-28,-3.6,-7.3,0.5,0.0,0.0,74.0,7.2,22.3,1028.6,492
2011-01-29,-4.8,-7.9,-2.5,0.0,0.0,22.0,4.7,14.0,1023.8,12
2011-01-30,-1.8,-3.5,-1.1,0.0,0.0,140.0,5.4,19.1,1023.5,0
2011-01-31,-1.7,-2.3,-1.2,0.0,0.0,230.0,9.0,21.2,1025.3,0
2011-02-01,-2.2,-3.4,-0.1,0.0,0.0,226.0,17.3,36.0,1023.8,0
2011-02-02,1.8,-0.1,2.9,0.5,0.0,234.0,19.8,45.7,1023.4,0
2011-02-03,4.4,1.6,7.4,3.1,0.0,240.0,21.6,42.8,1019.4,306
2011-02-04,7.3,3.2,10.7,19.0,0.0,229.0,34.6,68.4,1009.7,0
2011-02-05,8.9,6.2,10.9,30.4,0.0,260.0,27.0,72.0,1009.9,0
2011-02-06,8.5,6.6,10.1,12.2,0.0,257.0,18.7,65.2,1015.1,0
2011-02-07,8.6,7.1,10.7,0.0,0.0,231.0,27.7,81.4,1012.6,6
2011-02-08,5.8,3.9,7.4,0.0,0.0,274.0,24.5,62.3,1018.1,126
2011-02-09,4.0,2.1,6.0,0.0,0.0,242.0,10.8,30.2,1023.5,324
2011-02-10,5.1,1.3,7.7,2.5,0.0,195.0,16.6,35.3,1014.3,0
2011-02-11,4.1,0.5,7.2,0.2,0.0,300.0,17.3,47.2,1010.5,54
2011-02-12,-0.3,-2.4,1.6,0.3,0.0,98.0,20.9,49.7,1020.1,204
2011-02-13,-0.2,-1.0,1.0,0.0,10.0,123.0,19.4,45.7,1013.9,0
2011-02-14,0.5,-0.1,1.3,0.4,10.0,115.0,26.3,56.2,1012.1,0
2011-02-15,-1.1,-1.9,0.1,2.0,0.0,116.0,22.7,51.5,1004.7,0
2011-02-16,0.6,-1.1,2.6,0.0,50.0,118.0,15.8,36.4,1003.5,48
2011-02-17,-0.8,-3.3,1.8,0.0,0.0,69.0,14.8,31.3,1010.2,288
2011-02-18,-0.5,-1.2,0.6,0.0,0.0,66.0,17.3,32.8,1018.5,0
2011-02-19,-1.1,-2.2,-0.4,0.0,0.0,90.0,19.1,40.0,1023.0,0
2011-02-20,-3.0,-5.6,-1.1,0.0,0.0,93.0,20.2,40.3,1024.9,354
