date,windturbines_mw
2011-01-01,518229.0
2011-01-02,83077.0
2011-01-03,73095.0
2011-01-04,376606.0
2011-01-05,216599.0
2011-01-06,224738.0
2011-01-07,202544.0
2011-01-08,16557.0
2011-01-09,22913.0
2011-01-10,15518.0
2011-01-11,105100.0
2011-01-12,357085.0
2011-01-13,167369.0
2011-01-14,360219.0
2011-01-15,397129.0
2011-01-16,299042.0
2011-01-17,171133.0
2011-01-18,175946.0
2011-01-19,70275.0
2011-01-20,60574.0
2011-01-21,46772.0
2011-01-22,41760.0
2011-01-23,58551.0
2011-01-24,100626.0
2011-01-25,298903.0
2011-01-26,93853.0
2011-01-27,69897.0
2011-01-28,67752.0
2011-01-29,42867.0
2011-01-30,9603.0
2011-01-31,9203.0
2011-02-01,212079.0
2011-02-02,259000.0
2011-02-03,146157.0
2011-02-04,70694.0
2011-02-05,202162.0
2011-02-06,92388.0
2011-02-07,466995.0
2011-02-08,37552.0
2011-02-09,11246.0
2011-02-10,15637.0
2011-02-11,65153.0
2011-02-12,398658.0
2011-02-13,193488.0
2011-02-14,363374.0
2011-02-15,396518.0
2011-02-16,194963.0
2011-02-17,99463.0
2011-02-18,38556.0
2011-02-19,93701.0
2011-02-20,156965.0
2011-02-21,120412.0
2011-02-22,61240.0
2011-02-23,76154.0
2011-02-24,152000.0
2011-02-25,157628.0
2011-02-26,236622.0
2011-02-27,136521.0
2011-02-28,46944.0
2011-03-01,75372.0
2011-03-02,438847.0
2011-03-03,72419.0
2011-03-04,129268.0
2011-03-05,105942.0
2011-03-06,81956.0
2011-03-07,467046.0
2011-03-08,96068.0
2011-03-09,48414.0
2011-03-10,88442.0
2011-03-11,127656.0
2011-03-12,592749.0
2011-03-13,56571.0
2011-03-14,13917.0
2011-03-15,192384.0
2011-03-16,351209.0
2011-03-17,198638.0
2011-03-18,227317.0
2011-03-19,106921.0
2011-03-20,34839.0
2011-03-21,69725.0
2011-03-22,139455.0
2011-03-23,145588.0
2011-03-24,292710.0
2011-03-25,199561.0
2011-03-26,86761.0
2011-03-27,21446.0
2011-03-28,141428.0
2011-03-29,55616.0
2011-03-30,32550.0
2011-03-31,258100.0
2011-04-01,94341.0
2011-04-02,801520.0
2011-04-03,28588.0
2011-04-04,132702.0
2011-04-05,86796.0
2011-04-06,71228.0
2011-04-07,164225.0
2011-04-08,54753.0
2011-04-09,86684.0
2011-04-10,234286.0
2011-04-11,131223.0
2011-04-12,496391.0
2011-04-13,581597.0
2011-04-14,87115.0
2011-04-15,18725.0
2011-04-16,22584.0
2011-04-17,31306.0
2011-04-18,20091.0
2011-04-19,69442.0
2011-04-20,60084.0
2011-04-21,40137.0
2011-04-22,114739.0
2011-04-23,230876.0
2011-04-24,142379.0
2011-04-25,98792.0
2011-04-26,52937.0
2011-04-27,46118.0
2011-04-28,146989.0
2011-04-29,311718.0
2011-04-30,337011.0
2011-05-01,235605.0
2011-05-02,859007.0
2011-05-03,216696.0
2011-05-04,195825.0
2011-05-05,36624.0
2011-05-06,134747.0
2011-05-07,19906.0
2011-05-08,43125.0
2011-05-09,117870.0
2011-05-10,198835.0
2011-05-11,130653.0
2011-05-12,485816.0
2011-05-13,134115.0
2011-05-14,94858.0
2011-05-15,161044.0
2011-05-16,284343.0
2011-05-17,242294.0
2011-05-18,47974.0
2011-05-19,51937.0
2011-05-20,19652.0
2011-05-21,43193.0
2011-05-22,183254.0
2011-05-23,103953.0
2011-05-24,282127.0
2011-05-25,127849.0
2011-05-26,290719.0
2011-05-27,265947.0
2011-05-28,96796.0
2011-05-29,180512.0
2011-05-30,117986.0
2011-05-31,187603.0
2011-06-01,471783.0
2011-06-02,589026.0
2011-06-03,129440.0
2011-06-04,286274.0
2011-06-05,90936.0
2011-06-06,97872.0
2011-06-07,48024.0
2011-06-08,63770.0
2011-06-09,287755.0
2011-06-10,423383.0
2011-06-11,60957.0
2011-06-12,438590.0
2011-06-13,60886.0
2011-06-14,64345.0
2011-06-15,19784.0
2011-06-16,76897.0
2011-06-17,206522.0
2011-06-18,240277.0
2011-06-19,443539.0
2011-06-20,302366.0
2011-06-21,93793.0
2011-06-22,115010.0
2011-06-23,241921.0
2011-06-24,183499.0
